screen_position,doi,title,year,venue,type,language,url,coder_name,date_screened,E1,E2,note
1,10.1109/icccnt54827.2022.9984477,Machine Learning for Classification of Antithetical Emotional States,2022,2022 13th International Conference on Computing Communication and Networking Technologies (ICCCNT),conference-paper,en,https://doi.org/10.1109/icccnt54827.2022.9984477,,,,,
2,10.46647/ijetms.2025.v09i05.003,"STRESS RECOGNITION THROUGH DEEP LEARNING APPROACHES: DATA, MODELS, AND ACADEMIC ENVIRONMENT APPLICATIONS IN REVIEW",2025,International Journal of Engineering Technology and Management Sciences,article,en,https://doi.org/10.46647/ijetms.2025.v09i05.003,,,,,
3,10.1016/j.asoc.2020.106954,EEG emotion recognition using fusion model of graph convolutional neural networks and LSTM,2020,Applied Soft Computing,article,en,https://doi.org/10.1016/j.asoc.2020.106954,,,,,
4,10.1109/icosst48232.2019.9043994,EEG-Based Emotion Recognition with Combined Deep Neural Networks using Decomposed Feature Clustering Model,2019,,conference-paper,en,https://doi.org/10.1109/icosst48232.2019.9043994,,,,,
5,10.1109/iip57348.2022.00014,Optimized Deep Forest Emotional Awareness Recognition Based on EEG Rhythm Characteristics,2022,,conference-paper,en,https://doi.org/10.1109/iip57348.2022.00014,,,,,
6,10.48550/arxiv.2211.12103,STILN: A Novel Spatial-Temporal Information Learning Network for EEG-based Emotion Recognition,2022,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2211.12103,,,,,
7,10.1109/ddcls66240.2025.11065219,GCAN-DA: Emotion EEG Recognition with Graph Convolutional Attention and Domain Adaptation,2025,,conference-paper,en,https://doi.org/10.1109/ddcls66240.2025.11065219,,,,,
8,10.1109/cme67420.2025.11239351,EEG-based Emotional Brain–Computer Interfaces using Multi-Scale Perception and Diffusion Enhancement Models,2025,,conference-paper,,https://doi.org/10.1109/cme67420.2025.11239351,,,,,
9,10.3897/jucs.98789,Enhancing EEG-based emotion recognition using PSD-Grouped Deep Echo State Network,2023,JUCS - Journal of Universal Computer Science,article,en,https://doi.org/10.3897/jucs.98789,,,,,
10,10.48550/arxiv.1907.07835,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,2019,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/1907.07835,,,,,
11,10.3390/math10040582,A Novel DE-CNN-BiLSTM Multi-Fusion Model for EEG Emotion Recognition,2022,Mathematics,article,en,https://doi.org/10.3390/math10040582,,,,,
12,10.1109/taffc.2025.3593630,Dynamic-Attention-Based EEG State Transition Modeling for Emotion Recognition,2025,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2025.3593630,,,,,
13,10.1007/s11571-025-10372-5,Cross-modal alignment and fusion of EEG-visual based on mixed attention mechanism for emotion recognition,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12596239/,,,,,
14,10.1049/el.2020.2685,Efficient approach for EEG‐based emotion recognition,2020,Electronics Letters,article,en,https://doi.org/10.1049/el.2020.2685,,,,,
15,10.1038/s41598-025-98404-2,EmoTrans attention based emotion recognition using EEG signals and facial analysis with expert validation,2025,Scientific Reports,article,en,https://doi.org/10.1038/s41598-025-98404-2,,,,,
16,10.3389/fnins.2022.1010951,Exploration of effective electroencephalography features for the recognition of different valence emotions,2022,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2022.1010951,,,,,
17,10.1109/icccnt61001.2024.10725942,Automated emotion identification system utilizing EEG bands extracted via wavelet filter banks,2024,,conference-paper,en,https://doi.org/10.1109/icccnt61001.2024.10725942,,,,,
18,10.1109/jbhi.2024.3449083,DC-ASTGCN: EEG Emotion Recognition Based on Fusion Deep Convolutional and Adaptive Spatio-Temporal Graph Convolutional Networks,2024,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2024.3449083,,,,,
19,10.3389/fphys.2024.1425582,A novel methodology for emotion recognition through 62-lead EEG signals: multilevel heterogeneous recurrence analysis,2024,Frontiers in Physiology,article,en,https://doi.org/10.3389/fphys.2024.1425582,,,,,
20,10.1145/3573428.3573677,EEG emotion recognition based on WPD-1DCNN-LSTM,2022,,conference-paper,en,https://doi.org/10.1145/3573428.3573677,,,,,
21,10.1007/978-3-030-19591-5_25,Multiple-Instance Lasso Regularization via Embedded Instance Selection for Emotion Recognition,2019,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-030-19591-5_25,,,,,
22,10.1109/wiecon-ece57977.2022.10150514,DEEPSATTNET: An End-to-End Deep Neural Network with Self-Attention for EEG-Based Emotion Recognition,2022,,conference-paper,en,https://doi.org/10.1109/wiecon-ece57977.2022.10150514,,,,,
23,10.1007/978-981-10-6698-6_10,EEG Based Emotion Recognition Using Wavelets and Neural Networks Classifier,2017,SpringerBriefs in applied sciences and technology,book-chapter,en,https://doi.org/10.1007/978-981-10-6698-6_10,,,,,
24,10.3390/s22218250,Multi-Kernel Temporal and Spatial Convolution for EEG-Based Emotion Classification,2022,Sensors,article,en,https://doi.org/10.3390/s22218250,,,,,
25,10.26599/bdma.2024.9020071,Data-Driven Dynamic Graph Convolution Transformer Network Model for EEG Emotion Recognition Under IoMT Environment,2025,Big Data Mining and Analytics,article,en,https://doi.org/10.26599/bdma.2024.9020071,,,,,
26,10.1109/jcsse.2014.6841851,An evaluation of feature extraction in EEG-based emotion prediction with support vector machines,2014,,conference-paper,en,https://doi.org/10.1109/jcsse.2014.6841851,,,,,
27,10.1007/s11571-025-10342-x,Mtfsfn: a multi-view time-frequency-space fusion network for EEG-based emotion recognition,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12476352/,,,,,
28,10.1109/tcsii.2022.3163141,Efficient Sample and Feature Importance Mining in Semi-Supervised EEG Emotion Recognition,2022,IEEE Transactions on Circuits & Systems II Express Briefs,article,en,https://doi.org/10.1109/tcsii.2022.3163141,,,,,
29,10.1007/978-3-031-64070-4_15,Multi-domain Feature Extraction Methods for Classification of Human Emotions from Electroencephalography (EEG) Signals,2024,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-3-031-64070-4_15,,,,,
30,10.1016/j.compbiomed.2022.106463,TC-Net: A Transformer Capsule Network for EEG-based emotion recognition,2022,Computers in Biology and Medicine,article,en,https://doi.org/10.1016/j.compbiomed.2022.106463,,,,,
31,10.1145/3703323.3703709,Multi Task Learning for Predicting Music Video Clip and Participant Identification from Brain Responses,2024,,conference-paper,en,https://doi.org/10.1145/3703323.3703709,,,,,
32,10.1088/1742-6596/1501/1/012020,Emotion Recognition Based on DEAP Database using EEG Time-Frequency Features and Machine Learning Methods,2020,Journal of Physics Conference Series,conference-paper,en,https://doi.org/10.1088/1742-6596/1501/1/012020,,,,,
33,10.3390/e21060609,Recognition of Emotional States Using Multiscale Information Analysis of High Frequency EEG Oscillations,2019,Entropy,article,en,https://doi.org/10.3390/e21060609,,,,,
34,10.1016/b978-0-44-313233-9.00023-0,Deep learning for emotion recognition using physiological signals,2024,Elsevier eBooks,book-chapter,en,https://doi.org/10.1016/b978-0-44-313233-9.00023-0,,,,,
35,10.1109/icievicivpr52578.2021.9564204,Fine-Grained Emotion Recognition from EEG Signal Using Fast Fourier Transformation and CNN,2021,,conference-paper,en,https://doi.org/10.1109/icievicivpr52578.2021.9564204,,,,,
36,10.1109/access.2025.3576059,MLAR-Net: A Multilevel Attention-Based ResNet Module for the Automated Recognition of Emotions Using Single-Channel EEG Signals,2025,IEEE Access,article,en,https://doi.org/10.1109/access.2025.3576059,,,,,
37,10.1109/access.2025.3591202,MFENet: A Multi-Feature Extraction Network for Enhanced Emotion Detection Using EEG and STFT,2025,IEEE Access,article,en,https://doi.org/10.1109/access.2025.3591202,,,,,
38,10.23919/chicc.2019.8866540,Emotion Recognition Based On CNN,2019,,conference-paper,en,https://doi.org/10.23919/chicc.2019.8866540,,,,,
39,10.1016/j.asoc.2022.108889,Objectivity meets subjectivity: A subjective and objective feature fused neural network for emotion recognition,2022,Applied Soft Computing,article,en,https://doi.org/10.1016/j.asoc.2022.108889,,,,,
40,10.1016/j.knosys.2022.109038,Affect recognition from scalp-EEG using channel-wise encoder networks coupled with geometric deep learning and multi-channel feature fusion,2022,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2022.109038,,,,,
41,10.1109/icpei66116.2025.11282618,Improving EEG Emotion Recognition with Projection Layer and Output-Gated GRU Network,2025,,conference-paper,,https://doi.org/10.1109/icpei66116.2025.11282618,,,,,
42,10.1109/embc53108.2024.10781843,Multi-Modal Emotion Recognition Using EEG and Eye Tracking Features,2024,,conference-paper,en,https://doi.org/10.1109/embc53108.2024.10781843,,,,,
43,10.1007/s11571-021-09748-0,LEDPatNet19: Automated Emotion Recognition Model based on Nonlinear LED Pattern Feature Extraction Function using EEG Signals,2021,Cognitive Neurodynamics,article,en,https://doi.org/10.1007/s11571-021-09748-0,,,,,
44,10.20944/preprints202407.2202.v1,CSA-SA-CRTNN: A Dual-Stream Adaptive Convolutional Cyclic Hybrid Network Combining Attention Mechanisms for EEG Emotion Recognition,2024,Preprints.org,preprint,en,http://dx.doi.org/10.20944/preprints202407.2202.v1,,,,,
45,10.1007/s11571-025-10366-3,SFT-HN: a novel spatial-frequency-temporal hybrid network for EEG-based emotion recognition,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12586752/,,,,,
46,10.1109/icicml57342.2022.10009876,EEG Emotion Recognition using Multisource Instance Transfer Learning Framework,2022,"2022 International Conference on Image Processing, Computer Vision and Machine Learning (ICICML)",conference-paper,en,https://doi.org/10.1109/icicml57342.2022.10009876,,,,,
47,10.1016/j.bspc.2025.108800,Self-supervised learning-based EEG emotion recognition using spatial–temporal attention networks and contrastive learning,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.108800,,,,,
48,10.1109/ipact.2017.8245056,A novel approach for analyzing human emotions based on electroencephalography (EEG),2017,2017 Innovations in Power and Advanced Computing Technologies (i-PACT),conference-paper,en,https://doi.org/10.1109/ipact.2017.8245056,,,,,
49,10.1016/j.jneumeth.2025.110662,A multi-scale deep CNN based on attention mechanism for EEG emotion recognition,2025,Journal of Neuroscience Methods,article,en,https://doi.org/10.1016/j.jneumeth.2025.110662,,,,,
50,10.1109/access.2025.3561137,Attention-Driven Emotion Recognition in EEG: A Transformer-Based Approach With Cross-Dataset Fine-Tuning,2025,IEEE Access,article,en,https://doi.org/10.1109/access.2025.3561137,,,,,
51,10.1109/taffc.2019.2937768,GCB-Net: Graph Convolutional Broad Network and Its Application in Emotion Recognition,2019,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2019.2937768,,,,,
52,10.1109/cenim64038.2024.10882764,An Affective Computing Electroencephalogram-based System with Machine Learning Algorithms,2024,,conference-paper,en,https://doi.org/10.1109/cenim64038.2024.10882764,,,,,
53,10.1155/2024/7499554,Activating the Mobile User Interface With a Rule‐Based Chatbot and EEG‐Based Emotion Recognition to Aid in Coping With Negative Emotions,2024,Human Behavior and Emerging Technologies,article,en,https://doi.org/10.1155/2024/7499554,,,,,
54,10.1109/cmsda58069.2022.00038,Emotional Recognition Based on Convolutional Neural Network,2022,,conference-paper,en,https://doi.org/10.1109/cmsda58069.2022.00038,,,,,
55,10.1109/embc46164.2021.9630277,MEERNet: Multi-source EEG-based Emotion Recognition Network for Generalization Across Subjects and Sessions,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),conference-paper,en,https://doi.org/10.1109/embc46164.2021.9630277,,,,,
56,10.36227/techrxiv.17056961,JDAT: Joint-Dimension-Aware Transformer with Strong Flexibility for EEG Emotion Recognition,2021,,preprint,en,https://doi.org/10.36227/techrxiv.17056961,,,,,
57,10.32473/flairs.37.1.135354,A Machine Learning Pipeline for Emotion Recognition based on Brain Topographic Maps Derived from Electroencephalogram Signals,2024,Proceedings of the ... International Florida Artificial Intelligence Research Society Conference,conference-paper,en,http://dx.doi.org/10.32473/flairs.37.1.135354,,,,,
58,10.1007/978-3-030-27684-3_19,Emotion Analysis Using Heart Rate Data,2019,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-3-030-27684-3_19,,,,,
59,10.1142/s0218001424570143,Spatial-Frequency Based EEG Features for Classification of Human Emotions,2024,International Journal of Pattern Recognition and Artificial Intelligence,article,en,https://doi.org/10.1142/s0218001424570143,,,,,
60,10.1109/jtehm.2023.3320132,Fractal Spiking Neural Network Scheme for EEG-Based Emotion Recognition,2023,IEEE Journal of Translational Engineering in Health and Medicine,article,en,https://doi.org/10.1109/jtehm.2023.3320132,,,,,
61,10.1007/s11571-022-09890-3,Feature hypergraph representation learning on spatial-temporal correlations for EEG emotion recognition,2022,Cognitive Neurodynamics,article,en,https://www.ncbi.nlm.nih.gov/pmc/articles/10542078,,,,,
62,10.1109/ccdc52312.2021.9602439,Subject-independent Emotion recognition based on Entropy of EEG Signals,2021,,conference-paper,en,https://doi.org/10.1109/ccdc52312.2021.9602439,,,,,
63,,Cross-domain EEG-based Emotion Recognition with Contrastive Learning,2025,arXiv (Cornell University),preprint,,http://arxiv.org/abs/2511.05293,,,,,
64,10.1109/icccnt45670.2019.8944903,EEG based automatic emotion recognition using EMD and Random forest classifier,2019,,conference-paper,en,https://doi.org/10.1109/icccnt45670.2019.8944903,,,,,
65,10.23919/eusipco54536.2021.9616140,Multiscale Fractal Analysis on EEG Signals for Music-Induced Emotion Recognition,2021,2021 29th European Signal Processing Conference (EUSIPCO),conference-paper,en,http://arxiv.org/abs/2010.16310,,,,,
66,10.3390/s23041917,Emotion Classification from Multi-Band Electroencephalogram Data Using Dynamic Simplifying Graph Convolutional Network and Channel Style Recalibration Module,2023,Sensors,article,en,https://doi.org/10.3390/s23041917,,,,,
67,10.3934/mbe.2023953,BiTCAN: An emotion recognition network based on saliency in brain cognition,2023,Mathematical Biosciences & Engineering,article,en,https://doi.org/10.3934/mbe.2023953,,,,,
68,10.14257/ijast.2018.119.07,A Study on Training Data Selection Method for EEG Emotion Analysis using Machine Learning Algorithm,2018,International Journal of Advanced Science and Technology,article,en,https://doi.org/10.14257/ijast.2018.119.07,,,,,
69,10.1007/978-3-031-81339-9_5,SimpleRNN Based Human Emotion Recognition Using EEG Signals,2025,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-3-031-81339-9_5,,,,,
70,10.21203/rs.3.rs-5160646/v1,Research on Emotion Recognition Model Based on ConvTCN-LSTM-DCAN Model with Sparse EEG Channels,2024,Research Square,preprint,en,https://doi.org/10.21203/rs.3.rs-5160646/v1,,,,,
71,10.1109/access.2020.2978163,EEG-Based Emotion Classification Using Spiking Neural Networks,2020,IEEE Access,article,en,https://doi.org/10.1109/access.2020.2978163,,,,,
72,10.1109/taffc.2019.2922912,From Regional to Global Brain: A Novel Hierarchical Spatial-Temporal Neural Network Model for EEG Emotion Recognition,2019,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2019.2922912,,,,,
73,10.1109/embc58623.2025.11253201,Multimodal Emotion Recognition from EEG and ECG Signals via Parallel Fusion of Graph Convolution and LSTMs,2025,,conference-paper,en,https://doi.org/10.1109/embc58623.2025.11253201,,,,,
74,10.1109/asyu56188.2022.9925308,Classification of Emotional States from Multi-channel EEG Signals by Convolutional Neural Networks,2022,2022 Innovations in Intelligent Systems and Applications Conference (ASYU),conference-paper,en,https://doi.org/10.1109/asyu56188.2022.9925308,,,,,
75,10.1109/eei63073.2024.10696613,An Emotion Recognition Scheme Based on EEG Signal and Visual Information,2024,,conference-paper,en,https://doi.org/10.1109/eei63073.2024.10696613,,,,,
76,10.1155/2022/7672297,An Efficient AP-ANN-Based Multimethod Fusion Model to Detect Stress through EEG Signal Analysis,2022,Computational Intelligence and Neuroscience,article,en,https://doi.org/10.1155/2022/7672297,,,,,
77,10.1109/incet61516.2024.10592981,Exploring the Causal Dynamics of Covariates on Emotional Responses: Implications for Psychology and Human-Computer Interaction,2024,,conference-paper,en,https://doi.org/10.1109/incet61516.2024.10592981,,,,,
78,10.1007/s11760-024-03178-1,Emotion recognition with attention mechanism-guided dual-feature multi-path interaction network,2024,Signal Image and Video Processing,article,en,https://doi.org/10.1007/s11760-024-03178-1,,,,,
79,10.1007/978-3-031-55174-1_8,Measuring the Effects of Signal-To-Noise in EEG Emotion Recognition,2024,Studies in computational intelligence,book-chapter,en,https://doi.org/10.1007/978-3-031-55174-1_8,,,,,
80,10.1007/978-3-031-23233-6_1,Ensemble Learning Model for EEG Based Emotion Classification,2022,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-3-031-23233-6_1,,,,,
81,10.3390/s19235218,EEG-Based Multi-Modal Emotion Recognition using Bag of Deep Features: An Optimal Feature Selection Approach,2019,Sensors,article,en,https://doi.org/10.3390/s19235218,,,,,
82,10.1007/978-3-032-05141-7_7,Cross-Modal Contrastive Learning for Emotion Recognition: Aligning ECG with EEG-Derived Features,2025,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-032-05141-7_7,,,,,
83,10.1109/iespc.2019.8902418,Emotion recognition from EEG signals using back propagation neural network,2019,,conference-paper,en,https://doi.org/10.1109/iespc.2019.8902418,,,,,
84,10.1109/access.2020.2966144,Emotion Feature Analysis and Recognition Based on Reconstructed EEG Sources,2020,IEEE Access,article,en,https://doi.org/10.1109/access.2020.2966144,,,,,
85,10.1016/j.future.2021.01.010,Emotion recognition by deeply learned multi-channel textual and EEG features,2021,Future Generation Computer Systems,article,en,https://doi.org/10.1016/j.future.2021.01.010,,,,,
86,10.1515/cdbme-2024-2012,Assessment of EEG-PPG Cross Frequency Coherence under Evoked Emotional Arousal,2024,Current Directions in Biomedical Engineering,article,en,https://doi.org/10.1515/cdbme-2024-2012,,,,,
87,10.2139/ssrn.4477495,Decoding Emotion with Phase-Amplitude Fusion Features of Eeg Functional Connectivity Network,2023,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4477495,,,,,
88,10.1109/jbhi.2024.3415163,Multi-Domain Based Dynamic Graph Representation Learning for EEG Emotion Recognition,2024,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2024.3415163,,,,,
89,10.1145/2671188.2749364,Emotion Recognition from EEG Signals using Hierarchical Bayesian Network with Privileged Information,2015,,conference-paper,en,https://doi.org/10.1145/2671188.2749364,,,,,
90,10.1109/icassp48485.2024.10447463,CEMOAE: A Dynamic Autoencoder with Masked Channel Modeling for Robust EEG-Based Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/icassp48485.2024.10447463,,,,,
91,10.2139/ssrn.4379822,MS-FTSCNN: An EEG Emotion Recognition Method from the Combination of Multi-Domain Features,2023,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4379822,,,,,
92,10.1109/isbi60581.2025.10981248,CFBM: Cubic Filtered Brain Map Creation Method and Models for Eeg-Based Emotion Recognition,2025,,conference-paper,en,https://doi.org/10.1109/isbi60581.2025.10981248,,,,,
93,10.1109/ijcnn64981.2025.11228696,A Bidirectional Selective State Space Model with Multi-scale Convolution and Additive Gated Attention for Cross-Subject Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/ijcnn64981.2025.11228696,,,,,
94,10.48550/arxiv.2308.01919,Emotion recognition based on multi-modal electrophysiology multi-head attention Contrastive Learning,2023,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2308.01919,,,,,
95,10.1109/embc44109.2020.9175397,EEG-Based Functional Connectivity Representation using Phase Locking Value for Brain Network Based Applications,2020,,conference-paper,en,https://doi.org/10.1109/embc44109.2020.9175397,,,,,
96,10.3389/fnins.2024.1293962,MISNet: multi-source information-shared EEG emotion recognition network with two-stream structure,2024,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2024.1293962,,,,,
97,10.3389/fninf.2022.844667,On the Minimal Amount of EEG Data Required for Learning Distinctive Human Features for Task-Dependent Biometric Applications,2022,Frontiers in Neuroinformatics,article,en,https://doi.org/10.3389/fninf.2022.844667,,,,,
98,10.1145/3673277.3673384,Multi-View Hierarchical Attention Graph Convolutional Network with Domain Adaptation for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1145/3673277.3673384,,,,,
99,10.1016/j.compbiomed.2020.103927,Multi-channel EEG-based emotion recognition via a multi-level features guided capsule network,2020,Computers in Biology and Medicine,article,en,https://doi.org/10.1016/j.compbiomed.2020.103927,,,,,
100,10.3390/electronics12132900,A Customized ECA-CRNN Model for Emotion Recognition Based on EEG Signals,2023,Electronics,article,en,https://doi.org/10.3390/electronics12132900,,,,,
101,10.1109/acait67930.2025.11522604,EEG Emotion Recognition Based on Swin Transformer and GCN,2025,,conference-paper,,https://doi.org/10.1109/acait67930.2025.11522604,,,,,
102,10.1016/j.asoc.2023.111181,EEG emotion recognition based on Ordinary Differential Equation Graph Convolutional Networks and Dynamic Time Wrapping,2024,Applied Soft Computing,article,en,https://doi.org/10.1016/j.asoc.2023.111181,,,,,
103,10.1109/jsen.2021.3121293,A Novel Spatio-Temporal Field for Emotion Recognition Based on EEG Signals,2021,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2021.3121293,,,,,
104,10.1007/s10044-019-00860-w,Learning CNN features from DE features for EEG-based emotion recognition,2019,Pattern Analysis and Applications,article,en,https://doi.org/10.1007/s10044-019-00860-w,,,,,
105,10.3390/s22145252,EEG Emotion Classification Network Based on Attention Fusion of Multi-Channel Band Features,2022,Sensors,article,en,https://doi.org/10.3390/s22145252,,,,,
106,10.1016/j.measurement.2022.111738,EEG-based affective state recognition from human brain signals by using Hjorth-activity,2022,Measurement,article,en,https://doi.org/10.1016/j.measurement.2022.111738,,,,,
107,10.1109/icaiss61471.2025.11041804,AI based Psychometric Assessment using Multimodal Signal Data,2025,,conference-paper,en,https://doi.org/10.1109/icaiss61471.2025.11041804,,,,,
108,10.1109/smc53992.2023.10394506,Robust Emotion Recognition in EEG Signals Based on a Combination of Multiple Domain Adaptation Techniques,2023,,conference-paper,en,https://doi.org/10.1109/smc53992.2023.10394506,,,,,
109,10.1109/yac63405.2024.10598790,MCMFuse:a Multi-level Co-selection Model in the Frequency Domain to Enhance EEG Signal Analysis for Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/yac63405.2024.10598790,,,,,
110,10.1016/j.patcog.2025.112690,AT-PMF: Progressive multi-modal fusion with adversarial training for physiological emotion recognition,2025,Pattern Recognition,article,en,https://doi.org/10.1016/j.patcog.2025.112690,,,,,
111,10.1109/access.2024.3497160,Emotion Recognition Method Using U-Net Neural Network With Multichannel EEG Features and Differential Entropy Characteristics,2024,IEEE Access,article,en,https://doi.org/10.1109/access.2024.3497160,,,,,
112,10.1016/j.eswa.2022.118025,EEG-based emotion analysis using non-linear features and ensemble learning approaches,2022,Expert Systems with Applications,article,en,https://doi.org/10.1016/j.eswa.2022.118025,,,,,
113,10.1109/becithcon64160.2024.10962735,Enhanced Techniques for Multi-Emotion Detection from EEG Signals: Focus on Channel and Feature Selection,2024,,conference-paper,en,https://doi.org/10.1109/becithcon64160.2024.10962735,,,,,
114,10.1088/978-0-7503-5182-9ch6,EEG-based human emotion classification from channel-wise feature extraction and feature selection,2023,,book-chapter,en,https://doi.org/10.1088/978-0-7503-5182-9ch6,,,,,
115,10.1016/j.bspc.2025.108111,EEG-based emotion recognition: A deep learning approach to brain region analysis,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.108111,,,,,
116,10.1109/lsp.2024.3353679,A Transformer Convolutional Network With the Method of Image Segmentation for EEG-Based Emotion Recognition,2024,IEEE Signal Processing Letters,article,en,https://doi.org/10.1109/lsp.2024.3353679,,,,,
117,10.3390/diagnostics13132141,Evaluation of Emotions from Brain Signals on 3D VAD Space via Artificial Intelligence Techniques,2023,Diagnostics,article,en,https://doi.org/10.3390/diagnostics13132141,,,,,
118,10.1109/access.2024.3506157,Unveiling the Influence of Modeling Approach and Gender in Subject Independent Multimodal Emotion Recognition Using EOG and PPG,2024,IEEE Access,article,en,https://doi.org/10.1109/access.2024.3506157,,,,,
119,10.1016/j.neunet.2025.108324,Cross-subject emotion recognition with loop adaptive adversarial transfer network,2025,Neural Networks,article,en,https://doi.org/10.1016/j.neunet.2025.108324,,,,,
120,10.1088/1757-899x/782/3/032005,Multimodal Physiological Signal Emotion Recognition Based on Convolutional Recurrent Neural Network,2020,IOP Conference Series Materials Science and Engineering,conference-paper,en,https://doi.org/10.1088/1757-899x/782/3/032005,,,,,
